,0,labels
0,-26.51276643,male_calm
1,-25.6661373,male_calm
2,-31.03398423,male_calm
3,-19.86228146,male_angry
4,-10.67472874,male_angry
5,-23.10904994,male_angry
6,-24.09527306,male_fear
7,-19.83483775,male_fear
8,-27.24906387,male_fear
9,-29.57476583,male_neutral
10,-23.72973012,male_neutral
11,-33.75507466,male_neutral
12,-29.99364777,male_sad
13,-23.3097217,male_sad
14,-33.49062097,male_sad
15,-28.86290794,male_sad
16,-20.61844041,male_sad
17,-33.21758066,male_sad
18,-27.48423582,male_sad
19,-18.3967519,male_sad
20,-32.0485959,male_sad
21,-23.64642864,male_angry
22,-14.20023574,male_angry
23,-27.46109317,male_angry
24,-24.73254255,male_fear
25,-17.36525065,male_fear
26,-28.60554824,male_fear
27,-23.01555229,male_angry
28,-19.95782928,male_angry
29,-26.67201989,male_angry
30,-26.98987309,male_happy
31,-21.20345862,male_happy
32,-30.88120744,male_happy
33,-28.43467532,male_happy
34,-17.59066153,male_happy
35,-32.40572036,male_happy
36,-29.18294132,male_calm
37,-23.57757588,male_calm
38,-33.11459403,male_calm
39,-26.40641222,male_happy
40,-19.19842273,male_happy
41,-30.16309425,male_happy
42,-27.73734935,male_calm
43,-18.5979167,male_calm
44,-32.46424943,male_calm
45,-21.2390301,male_angry
46,-15.60449687,male_angry
47,-24.97199693,male_angry
48,-26.85324108,male_sad
49,-26.64789999,male_sad
50,-30.6622223,male_sad
51,-24.71564864,male_happy
52,-16.22631814,male_happy
53,-28.28447999,male_happy
54,-30.14713688,male_neutral
55,-27.0552506,male_neutral
56,-33.34058407,male_neutral
57,-27.79142191,male_fear
58,-21.14574532,male_fear
59,-32.33340176,male_fear
60,-27.88514709,male_happy
61,-21.27763327,male_happy
62,-31.64878528,male_happy
63,-27.88315257,male_calm
64,-24.33092205,male_calm
65,-32.11156185,male_calm
66,-25.98155502,male_angry
67,-16.4219468,male_angry
68,-29.86675179,male_angry
69,-28.20141108,male_sad
70,-16.84260559,male_sad
71,-32.18912032,male_sad
72,-26.2804789,male_sad
73,-18.56758173,male_sad
74,-29.92411227,male_sad
75,-24.46038623,male_angry
76,-17.10536287,male_angry
77,-27.99678776,male_angry
78,-27.30562969,male_happy
79,-22.62915746,male_happy
80,-30.82763327,male_happy
81,-29.33083164,male_neutral
82,-20.40052636,male_neutral
83,-33.77088075,male_neutral
84,-23.88068764,male_fear
85,-19.38507618,male_fear
86,-28.13988745,male_fear
87,-24.94196733,male_calm
88,-23.98308375,male_calm
89,-29.31327909,male_calm
90,-18.1385861,male_angry
91,-9.603370239,male_angry
92,-20.83176055,male_angry
93,-25.94907073,male_calm
94,-20.90622251,male_calm
95,-29.67316113,male_calm
96,-25.99305209,male_happy
97,-21.76353725,male_happy
98,-29.44519338,male_happy
99,-27.28476714,male_calm
100,-19.58596046,male_calm
101,-31.01590531,male_calm
102,-29.21798627,male_neutral
103,-26.08853766,male_neutral
104,-33.03310831,male_neutral
105,-24.1190166,male_happy
106,-22.25586069,male_happy
107,-27.77771267,male_happy
108,-16.33027203,male_angry
109,-6.64019152,male_angry
110,-19.44206923,male_angry
111,-26.38453738,male_calm
112,-20.6287909,male_calm
113,-30.72489781,male_calm
114,-31.25447521,male_sad
115,-24.34217979,male_sad
116,-35.87749028,male_sad
117,-28.17309251,male_sad
118,-20.18161695,male_sad
119,-32.29234637,male_sad
120,-27.51227338,male_surprise
121,-17.0885418,male_surprise
122,-31.09587454,male_surprise
123,-31.22078267,male_surprise
124,-22.40712704,male_surprise
125,-34.31670261,male_surprise
126,-25.40427477,male_disgust
127,-16.07677549,male_disgust
128,-29.07522426,male_disgust
129,-22.27549493,male_fear
130,-12.06502336,male_fear
131,-25.50359148,male_fear
132,-19.71331624,male_fear
133,-19.07417439,male_fear
134,-23.25664776,male_fear
135,-27.29896581,male_disgust
136,-20.70237563,male_disgust
137,-30.96738812,male_disgust
138,-26.99502163,male_disgust
139,-20.13011192,male_disgust
140,-31.44319207,male_disgust
141,-30.69637942,male_surprise
142,-20.79669664,male_surprise
143,-35.14604911,male_surprise
144,-30.14139422,male_surprise
145,-19.40027182,male_surprise
146,-33.94895216,male_surprise
147,-26.97077943,male_disgust
148,-17.72881509,male_disgust
149,-30.3886431,male_disgust
150,-26.29997614,male_surprise
151,-20.55525177,male_surprise
152,-30.11866063,male_surprise
153,-21.73500182,male_fear
154,-16.35608079,male_fear
155,-25.68666453,male_fear
156,-22.17421558,male_fear
157,-18.08358577,male_fear
158,-25.70539406,male_fear
159,-25.63256675,male_disgust
160,-22.0416774,male_disgust
161,-30.0451203,male_disgust
162,-26.51163053,male_disgust
163,-26.42822052,male_disgust
164,-30.59418116,male_disgust
165,-28.0400254,male_surprise
166,-21.63785689,male_surprise
167,-32.05616958,male_surprise
168,-27.01013909,male_disgust
169,-21.19488982,male_disgust
170,-30.25987362,male_disgust
171,-27.42838834,male_surprise
172,-23.02163578,male_surprise
173,-30.25944137,male_surprise
174,-28.60938229,male_disgust
175,-21.68107438,male_disgust
176,-32.96335062,male_disgust
177,-27.87357508,male_surprise
178,-21.11285393,male_surprise
179,-31.44187806,male_surprise
180,-30.81937943,female_calm
181,-21.3681076,female_calm
182,-34.19751825,female_calm
183,-24.2158848,female_angry
184,-17.32571972,female_angry
185,-27.84069048,female_angry
186,-29.00154078,female_calm
187,-20.46058905,female_calm
188,-32.63019723,female_calm
189,-28.65229286,female_happy
190,-25.53350086,female_happy
191,-31.87275201,female_happy
192,-26.87179005,female_happy
193,-12.91369951,female_happy
194,-30.86043395,female_happy
195,-30.74010333,female_calm
196,-21.9784862,female_calm
197,-33.85391859,female_calm
198,-28.6602954,female_neutral
199,-21.17725042,female_neutral
200,-31.7152698,female_neutral
201,-30.87504469,female_neutral
202,-30.34242326,female_neutral
203,-34.08129957,female_neutral
204,-29.15607874,female_happy
205,-16.25367191,female_happy
206,-32.57919122,female_happy
207,-31.85285499,female_sad
208,-26.2633144,female_sad
209,-34.89088432,female_sad
210,-21.70859641,female_angry
211,-10.47889439,female_angry
212,-25.7779106,female_angry
213,-29.64811939,female_neutral
